frame,time_s,ball,conf,table_x,table_y
192,5.699,yellow,0.833,0.1908,0.7183
192,5.699,red,0.811,0.7519,0.3513
193,5.729,white,0.836,0.9116,0.5186
193,5.729,yellow,0.833,0.1908,0.7183
193,5.729,red,0.811,0.7519,0.3513
194,5.758,white,0.85,0.9056,0.5295
194,5.758,yellow,0.815,0.1979,0.7354
194,5.758,red,0.811,0.7519,0.3514
195,5.788,white,0.849,0.9056,0.5294
195,5.788,yellow,0.815,0.1979,0.7354
195,5.788,red,0.811,0.7519,0.3514
196,5.818,white,0.888,0.9001,0.5413
196,5.818,red,0.812,0.7519,0.3514
196,5.818,yellow,0.731,0.2041,0.7519
197,5.847,white,0.888,0.9001,0.5413
197,5.847,red,0.812,0.7519,0.3514
197,5.847,yellow,0.731,0.2041,0.7519
198,5.877,yellow,0.823,0.2104,0.7684
198,5.877,red,0.81,0.7519,0.3514
198,5.877,white,0.809,0.8951,0.5522
199,5.907,yellow,0.823,0.2104,0.7684
199,5.907,red,0.811,0.7519,0.3514
199,5.907,white,0.809,0.8951,0.5522
200,5.937,white,0.821,0.8892,0.5647
200,5.937,red,0.81,0.7519,0.3514
200,5.937,yellow,0.792,0.2174,0.7849
201,5.966,white,0.821,0.8892,0.5647
201,5.966,red,0.81,0.7519,0.3514
201,5.966,yellow,0.792,0.2174,0.7849
202,5.996,white,0.88,0.8837,0.5756
